"Sexe";"Nom";"Age";"Occupation";"Residence";"Apparence";"Personnalite";"Histoire";"GenreRoman";"Themes";"Caracteristiques";"trAge"
"F";"Charlotte Wilson";"24";"Mannequin";"Milan";"Cheveux blonds longs, yeux verts, visage ovale, style élégant";"Belle, ambitieuse, indépendante, superficielle, a du mal à accepter le vieillissement";"a une relation compliquée avec son agent, a défilé pour plusieurs grandes marques";"Drame de la mode";"Beauté, ambition, relations professionnelles, vieillissement";"Personnage ambitieux et superficiel, lutte pour accepter le vieillissement";"1. Moins de 30 ans"
"H";"Jackson Reed";"41";"Médecin";"Chicago";"Cheveux gris courts, yeux marron, visage ovale, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Ava Rodriguez";"35";"Avocat";"Miami";"Cheveux bruns longs, yeux noisette, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Samuel Miller";"26";"Acteur";"Londres";"Cheveux bruns courts, yeux bleus, visage carré, style décontracté";"Talentueux, passionné, créatif, insouciant, a du mal à gérer son succès";"a une relation compliquée avec son agent, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations professionnelles, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Grace Hernandez";"30";"Artiste";"New York";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"2. Entre 30 et 40 ans"
"H";"Ryan Taylor";"38";"Entrepreneur";"Singapour";"Cheveux noirs courts, yeux marron, visage ovale, style professionnel";"Intelligent, ambitieux, déterminé, charismatique, a du mal à déléguer";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, détermination, relations professionnelles, délégation";"Personnage déterminé et charismatique, lutte pour déléguer";"2. Entre 30 et 40 ans"
"F";"Sara Johnson";"29";"Enseignante";"Vancouver";"Cheveux blonds longs, yeux bleus, visage ovale, style décontracté";"Intelligente, patiente, dévouée, compatissante, a du mal à s'imposer";"a une relation compliquée avec son directeur d'école, a aidé plusieurs élèves à réussir";"Drame scolaire";"Patience, dévouement, relations professionnelles, autorité";"Personnage dévoué et compatissant, lutte pour s'imposer";"1. Moins de 30 ans"
"H";"Nathan Carter";"42";"Policier";"Washington D.C.";"Cheveux bruns courts, yeux marron, visage carré, style professionnel";"Intelligent, courageux, déterminé, loyal, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a résolu plusieurs affaires importantes";"Thriller policier";"Courage, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage courageux et déterminé, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Emma Thompson";"33";"Psychologue";"Boston";"Cheveux châtains longs, yeux verts, visage ovale, style professionnel";"Intelligente, compatissante, patiente, analytique, a du mal à concilier travail et vie privée";"a une relation compliquée avec son père, a aidé plusieurs patients à surmonter leurs traumatismes";"Drame psychologique";"Compassion, patience, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage compatissant et analytique, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Oliver Davis";"28";"Ingénieur";"Seattle";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, pragmatique, indépendant, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a conçu plusieurs projets innovants";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et pragmatique, lutte pour communiquer avec les autres";"1. Moins de 30 ans"
"H";"Lucas Thompson";"32";"Détective privé";"New York";"Cheveux bruns courts, yeux noisette, visage carré, style décontracté";"Intelligent, persévérant, solitaire, a du mal à faire confiance aux autres";"a résolu plusieurs affaires de meurtre, a une relation compliquée avec sa sœur";"Polar";"Enquête, solitude, relations familiales, confiance";"Personnage solitaire et persévérant, lutte pour faire confiance aux autres";"2. Entre 30 et 40 ans"
"F";"Isabella Martinez";"28";"Chef pâtissière";"Paris";"Cheveux bruns longs, yeux marron, visage rond, style élégant";"Créative, passionnée, perfectionniste, sensible, a du mal à gérer le stress";"a une relation compliquée avec son père, a ouvert sa propre pâtisserie";"Roman gourmand";"Passion, créativité, relations père-fille, stress";"Personnage passionné et perfectionniste, lutte pour gérer le stress";"1. Moins de 30 ans"
"H";"Ethan Walker";"45";"Ecrivain";"Londres";"Cheveux gris, yeux bleus, visage allongé, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son ex-femme, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations amoureuses, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Mia Lee";"36";"Avocat";"Los Angeles";"Cheveux noirs mi-longs, yeux marron, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Noah Davis";"25";"Musicien";"Nashville";"Cheveux blonds mi-longs, yeux verts, visage fin, style rock";"Talentueux, passionné, créatif, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son frère, a récemment signé un contrat avec une maison de disques";"Roman musical";"Talent, passion, relations fraternelles, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Olivia White";"40";"Médecin";"Boston";"Cheveux bruns courts, yeux marron, visage ovale, style professionnel";"Intelligente, compétente, dévouée, compatissante, a du mal à concilier travail et vie privée";"a une relation tendue avec son mari, a perdu un patient récemment";"Drame médical";"Dévouement, compassion, relations conjugales, perte";"Personnage fort et compatissant, lutte pour faire face à la perte d'un patient";"3. Entre 40 et 50 ans"
"H";"Liam Green";"34";"Architecte";"Chicago";"Cheveux châtains courts, yeux verts, visage carré, style professionnel";"Intelligent, créatif, perfectionniste, exigeant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a conçu plusieurs bâtiments emblématiques";"Drame architectural";"Créativité, perfectionnisme, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage créatif et perfectionniste, lutte pour trouver un équilibre entre sa vie professionnelle et personnelle";"2. Entre 30 et 40 ans"
"F";"Sophia King";"27";"Danseuse";"Madrid";"Cheveux bruns longs, yeux noisette, visage fin, style sportif";"Passionnée, déterminée, disciplinée, indépendante, a du mal à accepter l'échec";"a une relation compliquée avec sa sœur, a dansé dans plusieurs compagnies de danse prestigieuses";"Roman de danse";"Passion, discipline, relations sororales, échec";"Personnage déterminé et discipliné, lutte pour accepter l'échec";"1. Moins de 30 ans"
"H";"Matthew Turner";"42";"Journaliste";"Seattle";"Cheveux gris courts, yeux bleus, visage carré, style décontracté";"Intelligent, curieux, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son éditeur, a écrit plusieurs articles primés";"Thriller journalistique";"Curiosité, indépendance, relations éditeur-auteur, engagement";"Personnage intelligent et curieux, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Emily Park";"37";"Designer de mode";"Paris";"Cheveux noirs longs, yeux marron, visage ovale, style élégant";"Créative, ambitieuse, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a créé sa propre marque de vêtements";"Drame de la mode";"Créativité, ambition, relations mère-fille, perfectionnisme";"Personnage créatif et ambitieux, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"Andrew Wilson";"29";"Informaticien";"Berlin";"Cheveux bruns courts, yeux marron, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"1. Moins de 30 ans"
"F";"Charlotte Brown";"31";"Artiste";"Londres";"Cheveux blonds longs, yeux bleus, visage ovale, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"2. Entre 30 et 40 ans"
"H";"Ryan Miller";"39";"Entrepreneur";"New York";"Cheveux châtains courts, yeux verts, visage carré, style professionnel";"Intelligent, ambitieux, déterminé, indépendant, a du mal à faire confiance aux autres";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, indépendance, relations professionnelles, confiance en soi";"Personnage fort et déterminé, lutte pour faire confiance aux autres";"2. Entre 30 et 40 ans"
"F";"Anna Garcia";"26";"Acteur";"Los Angeles";"Cheveux bruns longs, yeux noisette, visage fin, style décontracté";"Talentueuse, passionnée, créative, insouciante, a du mal à gérer son succès";"a une relation compliquée avec sa mère, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations mère-fils, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"H";"William Hernandez";"46";"Médecin";"Miami";"Cheveux noirs courts, yeux marron, visage rond, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Natalie Clark";"35";"Avocat";"San Francisco";"Cheveux blonds mi-longs, yeux verts, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Samuel Lee";"41";"Policier";"Chicago";"Cheveux bruns courts, yeux marron, visage carré, style professionnel";"Intelligent, courageux, déterminé, loyal, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a résolu plusieurs affaires importantes";"Thriller policier";"Courage, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage courageux et déterminé, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Jessica Davis";"24";"Etudiante";"Boston";"Cheveux blonds longs, yeux bleus, visage ovale, style décontracté";"Intelligente, curieuse, déterminée, indépendante, a du mal à s'adapter à l'université";"a une relation compliquée avec son père, étudie la littérature";"Roman d'apprentissage";"Curiosité, détermination, relations père-fille, adaptation";"Personnage déterminé et curieux, lutte pour s'adapter à l'université";"1. Moins de 30 ans"
"H";"Adam Johnson";"30";"Photographe";"Paris";"Cheveux bruns courts, yeux marron, visage fin, style bohème";"Créatif, passionné, indépendant, aventureux, a du mal à s'engager dans une relation";"a une relation compliquée avec son ex-petite amie, a voyagé dans le monde entier pour son travail";"Roman d'aventure";"Passion, aventure, relations amoureuses, engagement";"Personnage passionné et aventureux, lutte pour s'engager dans une relation";"2. Entre 30 et 40 ans"
"F";"Sarah Wilson";"38";"Enseignante";"Londres";"Cheveux noirs longs, yeux marron, visage ovale, style professionnel";"Intelligente, patiente, dévouée, compatissante, a du mal à s'imposer";"a une relation compliquée avec son directeur d'école, a aidé plusieurs élèves à réussir";"Drame scolaire";"Patience, dévouement, relations professionnelles, autorité";"Personnage dévoué et compatissant, lutte pour s'imposer";"2. Entre 30 et 40 ans"
"H";"Daniel Green";"28";"Ingénieur";"Berlin";"Cheveux bruns courts, yeux verts, visage carré, style décontracté";"Intelligent, créatif, ambitieux, indépendant, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a créé sa propre entreprise de technologie";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"1. Moins de 30 ans"
"F";"Olivia Smith";"33";"Journaliste";"New York";"Cheveux blonds courts, yeux marron, visage ovale, style professionnel";"Intelligente, curieuse, déterminée, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Michael Davis";"44";"Chef cuisinier";"San Francisco";"Cheveux gris courts, yeux bleus, visage carré, style décontracté";"Passionné, créatif, perfectionniste, exigeant, a du mal à déléguer";"a une relation compliquée avec son fils, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations père-fils, perfectionnisme";"Personnage passionné et perfectionniste, lutte pour déléguer";"3. Entre 40 et 50 ans"
"F";"Emily Taylor";"29";"Designer graphique";"Los Angeles";"Cheveux blonds longs, yeux verts, visage ovale, style élégant";"Créative, ambitieuse, perfectionniste, exigeante, a du mal à faire confiance aux autres";"a une relation compliquée avec sa mère, a travaillé pour plusieurs grandes marques";"Drame du design";"Créativité, ambition, relations mère-fille, confiance en soi";"Personnage créatif et ambitieux, lutte pour faire confiance aux autres";"1. Moins de 30 ans"
"H";"James White";"35";"Avocat";"Chicago";"Cheveux bruns courts, yeux marron, visage carré, style professionnel";"Intelligent, ambitieux, déterminé, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"F";"Kim Lee";"27";"Musicien";"Nashville";"Cheveux noirs longs, yeux marron, visage fin, style rock";"Talentueuse, passionnée, créative, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son père, a récemment signé un contrat avec une maison de disques";"Roman musical";"Talent, passion, relations père-fils, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"H";"Lily Hernandez";"30";"Ecrivain";"Miami";"Cheveux bruns longs, yeux noisette, visage ovale, style décontracté";"Intelligente, créative, indépendante, réservée, a du mal à faire confiance aux autres";"a une relation compliquée avec sa sœur, a publié plusieurs romans à succès";"Roman psychologique";"Créativité, indépendance, relations sororales, confiance en soi";"Personnage intelligent et créatif, lutte pour faire confiance aux autres";"2. Entre 30 et 40 ans"
"F";"Nathan Turner";"42";"Médecin";"Seattle";"Cheveux gris courts, yeux bleus, visage carré, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"H";"Grace Park";"36";"Artiste";"New York";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"2. Entre 30 et 40 ans"
"F";"Sophia Wilson";"25";"Danseuse";"Paris";"Cheveux blonds longs, yeux bleus, visage ovale, style élégant";"Passionnée, déterminée, disciplinée, indépendante, a du mal à accepter l'échec";"a une relation compliquée avec sa mère, danse dans une compagnie de ballet prestigieuse";"Roman de danse";"Passion, discipline, relations mère-fille, échec";"Personnage déterminé et discipliné, lutte pour accepter l'échec";"1. Moins de 30 ans"
"H";"Noah Green";"37";"Informaticien";"Berlin";"Cheveux bruns courts, yeux marron, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"2. Entre 30 et 40 ans"
"F";"Mia Martinez";"28";"Chef pâtissière";"Madrid";"Cheveux bruns longs, yeux marron, visage rond, style élégant";"Créative, passionnée, perfectionniste, sensible, a du mal à gérer le stress";"a une relation compliquée avec son père, a ouvert sa propre pâtisserie";"Roman gourmand";"Passion, créativité, relations père-fille, stress";"Personnage passionné et perfectionniste, lutte pour gérer le stress";"1. Moins de 30 ans"
"H";"Ethan Davis";"40";"Ecrivain";"Londres";"Cheveux gris, yeux bleus, visage allongé, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son ex-femme, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations amoureuses, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Lucas Hernandez";"32";"Détective privé";"Los Angeles";"Cheveux noirs courts, yeux marron, visage carré, style décontracté";"Intelligent, persévérant, solitaire, a du mal à faire confiance aux autres";"a résolu plusieurs affaires de meurtre, a une relation compliquée avec sa sœur";"Polar";"Enquête, solitude, relations familiales, confiance";"Personnage solitaire et persévérant, lutte pour faire confiance aux autres";"2. Entre 30 et 40 ans"
"H";"Isabella Walker";"26";"Acteur";"New York";"Cheveux bruns longs, yeux noisette, visage fin, style décontracté";"Talentueuse, passionnée, créative, insouciante, a du mal à gérer son succès";"a une relation compliquée avec sa mère, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations mère-fils, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Jackson Lee";"39";"Avocat";"Hong Kong";"Cheveux noirs courts, yeux marron, visage ovale, style professionnel";"Intelligent, ambitieux, déterminé, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son père, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Chloe Hernandez";"35";"Médecin";"Sydney";"Cheveux bruns mi-longs, yeux marron, visage ovale, style professionnel";"Intelligente, compétente, dévouée, compatissante, a du mal à concilier travail et vie privée";"a une relation tendue avec son mari, a perdu un patient récemment";"Drame médical";"Dévouement, compassion, relations conjugales, perte";"Personnage fort et compatissant, lutte pour faire face à la perte d'un patient";"2. Entre 30 et 40 ans"
"F";"Ryan Thompson";"29";"Entrepreneur";"Tokyo";"Cheveux châtains courts, yeux verts, visage carré, style professionnel";"Intelligent, ambitieux, déterminé, indépendant, a du mal à faire confiance aux autres";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, indépendance, relations professionnelles, confiance en soi";"Personnage fort et déterminé, lutte pour faire confiance aux autres";"1. Moins de 30 ans"
"H";"Anna Davis";"24";"Etudiante";"Vancouver";"Cheveux blonds longs, yeux bleus, visage ovale, style décontracté";"Intelligente, curieuse, déterminée, indépendante, a du mal à s'adapter à l'université";"a une relation compliquée avec son père, étudie la littérature";"Roman d'apprentissage";"Curiosité, détermination, relations père-fille, adaptation";"Personnage déterminé et curieux, lutte pour s'adapter à l'université";"1. Moins de 30 ans"
"F";"William Clark";"47";"Policier";"Washington";"Cheveux gris courts, yeux marron, visage carré, style professionnel";"Intelligent, courageux, déterminé, loyal, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a résolu plusieurs affaires importantes";"Thriller policier";"Courage, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage courageux et déterminé, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"H";"Natalie Green";"30";"Journaliste";"Melbourne";"Cheveux blonds courts, yeux verts, visage ovale, style professionnel";"Intelligente, curieuse, déterminée, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"F";"Samuel Martinez";"43";"Chef cuisinier";"Barcelone";"Cheveux noirs courts, yeux marron, visage rond, style décontracté";"Passionné, créatif, perfectionniste, exigeant, a du mal à déléguer";"a une relation compliquée avec son fils, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations père-fils, perfectionnisme";"Personnage passionné et perfectionniste, lutte pour déléguer";"3. Entre 40 et 50 ans"
"H";"Jessica Turner";"36";"Designer de mode";"Milan";"Cheveux noirs longs, yeux marron, visage ovale, style élégant";"Créative, ambitieuse, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a créé sa propre marque de vêtements";"Drame de la mode";"Créativité, ambition, relations mère-fille, perfectionnisme";"Personnage créatif et ambitieux, lutte pour déléguer";"2. Entre 30 et 40 ans"
"F";"Adam White";"27";"Musicien";"Austin";"Cheveux blonds mi-longs, yeux verts, visage fin, style rock";"Talentueux, passionné, créatif, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son frère, a récemment signé un contrat avec une maison de disques";"Roman musical";"Talent, passion, relations fraternelles, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"H";"Sarah Hernandez";"31";"Avocat";"Dallas";"Cheveux bruns longs, yeux noisette, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son père, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"F";"Daniel Davis";"45";"Médecin";"Philadelphie";"Cheveux gris courts, yeux bleus, visage carré, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"H";"Olivia Lee";"29";"Artiste";"Séoul";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"1. Moins de 30 ans"
"F";"Michael Wilson";"34";"Informaticien";"Taipei";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"2. Entre 30 et 40 ans"
"H";"Emily Green";"32";"Enseignante";"Auckland";"Cheveux blonds longs, yeux verts, visage ovale, style décontracté";"Intelligente, patiente, dévouée, compatissante, a du mal à s'imposer";"a une relation compliquée avec son directeur d'école, a aidé plusieurs élèves à réussir";"Drame scolaire";"Patience, dévouement, relations professionnelles, autorité";"Personnage dévoué et compatissant, lutte pour s'imposer";"2. Entre 30 et 40 ans"
